,class-0,class-1,class-2
GALNT10,0.0,0.0,1.0
GALNT15,0.0,0.0,1.0
GALNT16,0.0,0.0,1.0
GAPDH,0.0,0.0,1.0
GARS,0.0,0.0,1.0
GART,0.0,0.0,1.0
GDI1,0.0,0.0,1.0
GGPS1,0.0,0.0,1.0
GGT3P,0.0,0.0,1.0
GLE1,0.0,0.0,1.0
NOP53,0.0,0.0,1.0
GLYCTK,0.0,0.0,1.0
GNB1L,0.0,0.0,1.0
RACK1,0.0,0.0,1.0
GNL2,0.0,0.0,1.0
GNL3,0.0,0.0,1.0
GNPTG,0.0,0.0,1.0
GOT2,0.0,0.0,1.0
GPBAR1,0.0,0.0,1.0
GPC3,0.0,0.0,1.0
GPN1,0.0,0.0,1.0
GPN3,0.0,0.0,1.0
GPR153,0.0,0.0,1.0
GPR3,0.0,0.0,1.0
GPR6,0.0,0.0,1.0
GPRIN1,0.0,0.0,1.0
GPS1,0.0,0.0,1.0
GPS2,0.0,0.0,1.0
GPX4,0.0,0.0,1.0
GPX6,0.0,0.0,1.0
GRHPR,0.0,0.0,1.0
GRIN3A,0.0,0.0,1.0
GRM4,0.0,0.0,1.0
GSK3A,0.0,0.0,1.0
GSS,0.0,0.0,1.0
GSTP1,0.0,0.0,1.0
GSTZ1,0.0,0.0,1.0
GTF2E2,0.0,0.0,1.0
GTF2F1,0.0,0.0,1.0
GTF3C1,0.0,0.0,1.0
GTPBP4,0.0,0.0,1.0
GTSE1,0.0,0.0,1.0
GUCY2EP,0.0,0.0,1.0
GULP1,0.0,0.0,1.0
LARGE2,0.0,0.0,1.0
H1FNT,0.0,0.0,1.0
H2AFX,0.0,0.0,1.0
H2AFZ,0.0,0.0,1.0
HAAO,0.0,0.0,1.0
HAGH,0.0,0.0,1.0
HARS,0.0,0.0,1.0
HBE1,0.0,0.0,1.0
HBG1,0.0,0.0,1.0
HCCS,0.0,0.0,1.0
HCFC1,0.0,0.0,1.0
HDAC3,0.0,0.0,1.0
HDX,0.0,0.0,1.0
HECTD1,0.0,0.0,1.0
HES4,0.0,0.0,1.0
HEXIM1,0.0,0.0,1.0
HGS,0.0,0.0,1.0
HINT3,0.0,0.0,1.0
HIP1,0.0,0.0,1.0
HIPK3,0.0,0.0,1.0
HIST1H2AK,0.0,0.0,1.0
HIST2H2BA,0.0,0.0,1.0
HIST2H2BF,0.0,0.0,1.0
HIST3H3,0.0,0.0,1.0
HIVEP3,0.0,0.0,1.0
HK2,0.0,0.0,1.0
HKDC1,0.0,0.0,1.0
HLA-DRB5,0.0,0.0,1.0
HMGB1,0.0,0.0,1.0
HMOX1,0.0,0.0,1.0
HNRNPA1L2,0.0,0.0,1.0
HNRNPA1P10,0.0,0.0,1.0
HNRNPA3,0.0,0.0,1.0
HNRNPC,0.0,0.0,1.0
HNRNPD,0.0,0.0,1.0
HNRNPH1,0.0,0.0,1.0
HNRNPK,0.0,0.0,1.0
HNRNPL,0.0,0.0,1.0
HNRNPM,0.0,0.0,1.0
HOXA6,0.0,0.0,1.0
HOXA9,0.0,0.0,1.0
HPCAL4,0.0,0.0,1.0
HRAS,0.0,0.0,1.0
HRG,0.0,0.0,1.0
HSD17B10,0.0,0.0,1.0
HSF1,0.0,0.0,1.0
HSPA14,0.0,0.0,1.0
HSPA8,0.0,0.0,1.0
HSPA9,0.0,0.0,1.0
HSPD1,0.0,0.0,1.0
HSPE1,0.0,0.0,1.0
HSPE1-MOB4,0.0,0.0,1.0
HTATSF1,0.0,0.0,1.0
HUS1,0.0,0.0,1.0
HUWE1,0.0,0.0,1.0
HYOU1,0.0,0.0,1.0
IARS2,0.0,0.0,1.0
IDH3A,0.0,0.0,1.0
IFNL2,0.0,0.0,1.0
IFNL3,0.0,0.0,1.0
IGBP1,0.0,0.0,1.0
IGBP1P1,0.0,0.0,1.0
IGF1R,0.0,0.0,1.0
IK,0.0,0.0,1.0
IL15RA,0.0,0.0,1.0
IL17B,0.0,0.0,1.0
IL18BP,0.0,0.0,1.0
IL1A,0.0,0.0,1.0
IL27,0.0,0.0,1.0
IL37,0.0,0.0,1.0
ILF2,0.0,0.0,1.0
ILF3,0.0,0.0,1.0
ILK,0.0,0.0,1.0
IMP4,0.0,0.0,1.0
IMPACT,0.0,0.0,1.0
IMPDH2,0.0,0.0,1.0
INCENP,0.0,0.0,1.0
INHA,0.0,0.0,1.0
INO80,0.0,0.0,1.0
INPP5E,0.0,0.0,1.0
INTS3,0.0,0.0,1.0
INTS4,0.0,0.0,1.0
INTS4P1,0.0,0.0,1.0
INTS4P2,0.0,0.0,1.0
IQGAP1,0.0,0.0,1.0
IREB2,0.0,0.0,1.0
IRF7,0.0,0.0,1.0
IRX1,0.0,0.0,1.0
ISCU,0.0,0.0,1.0
ISY1,0.0,0.0,1.0
ISY1-RAB43,0.0,0.0,1.0
